This file is a list of script command names extracted from the DllField.cro overlay file.
It is only for documentation purposes and not used by the (dis)assembly script.
The IDs shown here are (probably) NOT the actual internal command IDs.

  0 0x0   joint10
471 0x1d7 _Camera3DIsExistSavePhoto
472 0x1d8 _SodateyaWordsetPokeLevelUp
473 0x1d9 PokePartyLevelUp
474 0x1da _GymElecLiftUp
475 0x1db _GymElecTopLiftUp
476 0x1dc GetPlayerCap
477 0x1dd _Camera3DIsEndLoadMap
478 0x1de MsgSwap
479 0x1df DuelingDump
480 0x1e0 CallKisekaeFittingShop
481 0x1e1 IsOpenPromoTelop
482 0x1e2 WardsetPromoTelop
483 0x1e3 ShakeCameraBeginLoop
484 0x1e4 SEStop
485 0x1e5 BuildMdlAllTimeAnimeStop
486 0x1e6 BuildMdlEventAnimeStop
487 0x1e7 _CallTrialDownloadApp
488 0x1e8 IsKisekaePurchasedInApp
489 0x1e9 BattleHouse_CallPartySelectApp
490 0x1ea TrialHouse_CallBtlResultApp
491 0x1eb MdlGetDirDisp
492 0x1ec MdlSetDirDisp
493 0x1ed IsSelectedFriendDressup
494 0x1ee GetCharTypeDressup
495 0x1ef PokeMemoryMessageSetup
496 0x1f0 GimmickAnimeReq
497 0x1f1 MdlSetWaitAnimeReq
498 0x1f2 ParentFlagSetReq
499 0x1f3 WorkSetReq
500 0x1f4 ParentSeqSetReq
501 0x1f5 TalkMdlMsg_Seq
502 0x1f6 YesNoWin_Seq
503 0x1f7 ListMenuInit_Seq
504 0x1f8 ListMenuStart_Seq
505 0x1f9 MdlSetPosToOBJNear
506 0x1fa CallGameClear
507 0x1fb AcmdListClear
508 0x1fc MdlInterestViewClear
509 0x1fd WordSetNumber
510 0x1fe PokeMemoryMessageIsExistOther
511 0x1ff BattleHouse_SendVsTrainer
512 0x200 BattleHouse_DecideCommVsTrainer
513 0x201 TrialHouse_SetTrainer
514 0x202 BattleHouse_SetCommVsTariner
515 0x203 SetupAiPartner
516 0x204 SelectPartner
517 0x205 PokePartyIsOwner
518 0x206 _PostmanGetParameter
519 0x207 RestoreFashionAfter
520 0x208 AddBraceletFashionAfter
521 0x209 ChangeToDefaultFashionAfter
522 0x20a HidePlayerCapAfter
523 0x20b SetHairAndShowPlayerCapAfter
524 0x20c RecreatePlayerAfter
525 0x20d _WordSetRegister
526 0x20e IsContinueRecover
527 0x20f _CallPhotoViewer
528 0x210 GymElecViewPlayer
529 0x211 PlayerGetReturnDir
530 0x212 CalcVecToDir
531 0x213 GetBTLTrainerDir
532 0x214 TalkMdlSetDir
533 0x215 GetTurnDirByDir
534 0x216 GetCurrentBackHair
535 0x217 GetCurrentFrontHair
536 0x218 GetDefaultEyeColor
537 0x219 SetDefaultEyeColor
538 0x21a GetCurrentEyeColor
539 0x21b SetCurrentEyeColor
540 0x21c GetCurrentHairColor
541 0x21d SetMirror
542 0x21e ResetMirror
543 0x21f StartChampionPassageElevator
544 0x220 StartBigFourPassageElevator
545 0x221 BallFactoryReverseConveyor
546 0x222 GetHour
547 0x223 _MdlProperties
548 0x224 PokeIconsTrans
549 0x225 FieldTradeCheckSelectMons
550 0x226 MdlSetGPos
551 0x227 BuildMdlGetHandleByGPos
552 0x228 MdlSetRailPos
553 0x229 SetMoneyWinPos
554 0x22a MdlSetPos
555 0x22b _Camera3DGetStartPos
556 0x22c WarpNextPos
557 0x22d _CallWazaApps
558 0x22e IsBoss
559 0x22f BoxMonsNoExists
560 0x230 MdlIsExists
561 0x231 SetSavedMakeDataToMyStatus
562 0x232 DuelingReadTrainerDataAt
563 0x233 DuelingLoadTrainerInfoAt
564 0x234 DuelingSaveTrainerInfoAt
565 0x235 CallHallOfFameMachineEffect
566 0x236 CallFlashEffect
567 0x237 CallIwakudakiEffect
568 0x238 CallKabekudakiEffect
569 0x239 CallIaigiriEffect
570 0x23a CallTakinoboriEffect
571 0x23b CallNaminoriEffect
572 0x23c CallMoveFameRoomEffect
573 0x23d CallAnanukenohimoEffect
574 0x23e CallTeleportEffect
575 0x23f CallAnawohoruEffect
576 0x240 CallPoke3Select
577 0x241 CallPokeSelect
578 0x242 CallFieldTradeBoxSelect
579 0x243 CallBoxSelect
580 0x244 CallMapConnect
581 0x245 IsWearingProduct
582 0x246 WordSetWearingProduct
583 0x247 RecordGet
584 0x248 TrainerBattleRuleGet
585 0x249 TrainerSPTypeGet
586 0x24a EyeTrainerMoveTypeGet
587 0x24b TrainerTalkTypeGet
588 0x24c AIStateGet
589 0x24d MegaEvolvedFlagGet
590 0x24e ParentFlagGet
591 0x24f WorkGet
592 0x250 TrainerItemGet
593 0x251 _SodateyaPokeNumGet
594 0x252 ParentSeqGet
595 0x253 WildBattleResultGet
596 0x254 SkyBattleResultGet
597 0x255 IEMdlAcmdSet
598 0x256 AIMdlAcmdSet
599 0x257 _MdlAcmdSet
600 0x258 RecordSet
601 0x259 AIStateSet
602 0x25a FlagSet
603 0x25b _TalkTargetObjWorkSet
604 0x25c KisekaeItemSet
605 0x25d TalkMdlZoomSet
606 0x25e WindEventSet
607 0x25f MdlInterestViewSet
608 0x260 PokeDiarySet
609 0x261 PokeMemorySet
610 0x262 CallKisekaeReset
611 0x263 BuildMdlEventAnimeReset
612 0x264 FlagReset
613 0x265 WindEventReset
614 0x266 MdlIsHalfSitSkelPreset
615 0x267 MdlOverlapShift
616 0x268 IsSelectedFriendMy64Bit
617 0x269 GimmickWorkGetBit
618 0x26a GimmickWorkSetBit
619 0x26b GimmickWorkResetBit
620 0x26c MotionSEWait
621 0x26d MdlAcmdEndWait
622 0x26e _GimmickAnimeWait
623 0x26f BattleHouse_CommWait
624 0x270 _MdlSetSitWait
625 0x271 _ReportWait
626 0x272 _ABKeyWait
627 0x273 LastKeyWait
628 0x274 MdlAcmdInit
629 0x275 _TalkMdlEndInit
630 0x276 HideItemInit
631 0x277 _TalkMdlStartInit
632 0x278 IsFirstSalonVisit
633 0x279 _TravelingPokeSetPokeBattleResult
634 0x27a BreederJudgeGetResult
635 0x27b _BattleGetResult
636 0x27c GetPokeTracerTargetCnt
637 0x27d BattleHouse_IsParent
638 0x27e _PostmanReceivePresent
639 0x27f GymI01WeedEvent
640 0x280 CallFireEntranceEvent
641 0x281 CallBigFourSteelEntranceEvent
642 0x282 CallBigFourDragonEntranceEvent
643 0x283 CallBigFourWaterEntranceEvent
644 0x284 GymGrassSlideEvent
645 0x285 CallBadgeCheckGateEvent
646 0x286 GymGrassHangMoveEvent
647 0x287 GymIceCylinderMoveEvent
648 0x288 BallFactoryStartMoveEvent
649 0x289 GymGrassRopeUpDownEvent
650 0x28a CallEggDemoEvent
651 0x28b GymI01JoroEvent
652 0x28c CallDeepSwampEvent
653 0x28d GymEsperWarpEvent
654 0x28e GymEsperEnterEvent
655 0x28f GymInsectEnterEvent
656 0x290 CallTsuchikemuriEncountEvent
657 0x291 PopupMsgStartEvent
658 0x292 GymIceLastEvent
659 0x293 GymI01HarvestEvent
660 0x294 GetPokeTracerChargePoint
661 0x295 AddStylishPoint
662 0x296 GetStylishPoint
663 0x297 GetCoolPoint
664 0x298 TrialHouse_AddBtlResultPoint
665 0x299 TrialHouse_GetBtlResultFixPoint
666 0x29a GetKeyCont
667 0x29b MdlGetRailPosFront
668 0x29c PokePartyGetWazaCount
669 0x29d BoxGetPokeCount
670 0x29e WordSetWordWithCount
671 0x29f PocketGetTotalCount
672 0x2a0 AddWinCount
673 0x2a1 ClearWinCount
674 0x2a2 GetWinCount
675 0x2a3 _GetMaxWinCount
676 0x2a4 GetMyWinCount
677 0x2a5 BadgeGetCount
678 0x2a6 _ZukanGetCount
679 0x2a7 PokePartyGetCount
680 0x2a8 CallHideItemEncount
681 0x2a9 CallDustBoxEncount
682 0x2aa _Camera3DCanShot
683 0x2ab IEReqChangeScript
684 0x2ac WeakReserveScript
685 0x2ad _SodateyaEggAdopt
686 0x2ae BattleEventBGMStart
687 0x2af BuildMdlEventAnimeStart
688 0x2b0 _ReportStart
689 0x2b1 BuildMdlEventAnimeInvStart
690 0x2b2 BuildMdlAllTimeAnimeRestart
691 0x2b3 BuildMdlEventAnimeRestart
692 0x2b4 _Camera3DIsOverrideAlert
693 0x2b5 _CheckBootHandsomeQuest
694 0x2b6 MdlAcmdEndRequest
695 0x2b7 _CallBackRegist
696 0x2b8 SodateyaIsEggExist
697 0x2b9 IsTalkMdlExist
698 0x2ba LayoutFadeRequestOut
699 0x2bb CallPokePartyNameInput
700 0x2bc PlayerNickNameCallInput
701 0x2bd PlayerGetFieldMenu
702 0x2be PlayerSetFieldMenu
703 0x2bf _SodateyaWordsetPokeTakeBackMenu
704 0x2c0 MdlAcmdMakeMoveEx
705 0x2c1 PromoOpenCoolMax
706 0x2c2 PromoIsOpenCoolMax
707 0x2c3 PlayerGetSex
708 0x2c4 SetPublishingIndex
709 0x2c5 PlayerNickNameSelectFix
710 0x2c6 PlayerNickNameInputFix
711 0x2c7 WordSetPlayerNickNamePrefix
712 0x2c8 PokePartyToBox
713 0x2c9 GetItemIdOfDustBox
714 0x2ca CheckTypeOfDustBox
715 0x2cb GetTimeZoneBySkyBox
716 0x2cc _GetDateTimeToDay
717 0x2cd _GetRealTimeToDay
718 0x2ce GetDay
719 0x2cf GetBirthdayDay
720 0x2d0 MEPlay
721 0x2d1 MotionSEPlay
722 0x2d2 VoicePlay
723 0x2d3 CallKisekaeDisplay
724 0x2d4 PlaceNameDisplay
725 0x2d5 CallSalonDisplay
726 0x2d6 MdlGetRailPosKey
727 0x2d7 PlayerSubMoney
728 0x2d8 PlayerAddMoney
729 0x2d9 PlayerGetMoney
730 0x2da WordSetMoney
731 0x2db PlayerSetMoney
732 0x2dc WordSetFashionBuy
733 0x2dd CallBPShopBuy
734 0x2de CallMPShopBuy
735 0x2df CallFriendlyShopBuy
